created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2021-09-16 01:23:51 CST,1,17.8,77.6,,,,,
2021-09-16 01:24:07 CST,2,17.8,77.6,,,,,
2021-09-16 01:24:23 CST,3,17.9,77.7,72,,,,
2021-09-16 01:24:41 CST,4,17.9,77.7,72,,,,
2021-09-16 01:25:09 CST,5,17.8,77.6,72,,,,
2021-09-16 01:30:37 CST,6,17.7,78.0,,,,,
2021-09-16 01:31:08 CST,7,17.7,78.0,,,,,
2021-09-16 01:31:51 CST,8,17.7,77.9,,,,,
2021-09-16 01:33:28 CST,9,17.7,77.9,,,,,
2021-09-16 01:33:45 CST,10,17.8,77.8,,,,,
2021-09-16 01:36:13 CST,11,17.7,77.9,,,,,
2021-09-16 01:46:53 CST,12,17.7,77.9,,,,,
2021-09-16 01:47:09 CST,13,17.7,77.7,,,,,
2021-09-16 01:47:29 CST,14,17.7,77.6,,,,,
2021-09-16 01:58:22 CST,15,17.6,76.9,72,,,,
2021-09-16 01:58:46 CST,16,17.7,77.2,72,,,,
2021-09-16 02:01:02 CST,17,17.6,76.8,72,,,,
2021-09-16 02:01:21 CST,18,17.7,76.7,72,,,,
2021-09-16 02:01:39 CST,19,17.7,76.6,72,,,,
2021-09-16 02:02:01 CST,20,17.6,76.5,72,,,,
2021-09-16 02:06:32 CST,21,17.5,76.6,72,,,,
2021-09-16 02:14:53 CST,22,17.6,76.2,72,,,,
2021-09-16 02:15:09 CST,23,17.6,76.3,72,,,,
2021-09-16 02:15:25 CST,24,17.6,76.3,72,,,,
2021-09-16 02:16:01 CST,25,17.6,76.0,72,,,,
2021-09-16 02:28:39 CST,26,17.6,75.5,72,,,,
2021-09-16 02:28:59 CST,27,17.6,75.6,72,,,,
2021-09-16 02:29:33 CST,28,17.6,75.5,72,,,,
2021-09-16 02:39:55 CST,29,17.6,75.5,72,,,,
2021-09-16 02:42:32 CST,30,17.6,76.1,72,,,,
2021-09-16 02:42:51 CST,31,17.6,76.2,72,,,,
2021-09-16 02:43:09 CST,32,17.5,76.1,72,,,,
2021-09-16 02:43:25 CST,33,17.6,76.2,72,,,,
2021-09-16 02:56:19 CST,34,17.6,76.2,72,,,,
2021-09-16 02:56:47 CST,35,17.4,76.8,72,,,,
2021-09-16 02:57:03 CST,36,17.4,76.8,72,,,,
2021-09-16 03:10:35 CST,37,17.3,77.5,72,,,,
2021-09-16 03:10:53 CST,38,17.3,77.7,72,,,,
2021-09-16 03:24:13 CST,39,17.2,78.0,72,,,,
2021-09-16 03:24:29 CST,40,17.2,78.1,72,,,,
2021-09-16 03:24:47 CST,41,17.3,77.9,72,,,,
2021-09-16 03:37:21 CST,42,17.3,78.0,72,,,,
2021-09-16 03:37:39 CST,43,17.3,78.2,72,,,,
2021-09-16 03:37:55 CST,44,17.4,78.0,72,,,,
2021-09-16 03:38:21 CST,45,17.3,77.8,72,,,,
2021-09-16 03:51:07 CST,46,17.3,77.9,72,,,,
2021-09-16 03:51:25 CST,47,17.3,77.9,72,,,,
2021-09-16 04:03:59 CST,48,17.3,78.1,72,,,,
2021-09-16 04:04:15 CST,49,17.3,78.1,72,,,,
2021-09-16 04:04:31 CST,50,17.3,78.2,72,,,,
2021-09-16 04:04:47 CST,51,17.4,78.1,72,,,,
2021-09-16 04:53:41 CST,52,17.1,79.2,,,,,
2021-09-16 04:54:10 CST,53,17.2,79.3,,,,,
2021-09-16 04:59:01 CST,54,17.1,79.6,,,,,
2021-09-16 04:59:17 CST,55,17.1,79.5,,,,,
2021-09-16 04:59:35 CST,56,17.1,79.5,,,,,
2021-09-16 04:59:51 CST,57,17.0,79.6,,,,,
2021-09-16 05:13:29 CST,58,17.1,79.8,,,,,
2021-09-16 05:13:45 CST,59,17.1,79.9,,,,,
2021-09-16 05:14:03 CST,60,17.1,80.0,72,,,,
2021-09-16 05:14:21 CST,61,17.1,80.1,72,,,,
